latitude15,longitude15,latitude05,longitude05
40.78258674,-73.97484011,40.70600935,-74.01315031
40.7337165,-73.97705764,40.70515268,-74.01558829
40.7821811,-73.97238977,40.73237612,-74.00574065
40.71680539,-73.99157275,40.73237337,-74.00590302
40.77222448,-73.95894426,40.83334211,-73.94541898
40.7816172,-73.97558535,40.83334211,-73.94541898
40.78233867,-73.97276286,40.78682118,-73.97565721
40.71688341,-73.99153287,40.78321209,-73.94461511
40.80881155,-73.96331506,40.7238307,-73.98379042
40.78283422,-73.97469909,40.78455661,-73.94377984
40.71669718,-73.99162805,40.78455661,-73.94377984
40.80874458,-73.96340334,40.78455661,-73.94377984
40.78755732,-73.97055355,40.78455661,-73.94377984
40.73357762,-73.97672526,40.78498462,-73.94344365
40.73346807,-73.97646308,40.78498462,-73.94344365
40.7816867,-73.97549554,40.78498462,-73.94344365
40.78280478,-73.97468132,40.78498462,-73.94344365
40.78240423,-73.97497302,40.78498462,-73.94344365
40.78215257,-73.97232222,40.78498462,-73.94344365
40.73418424,-73.97819267,40.78498462,-73.94344365
40.7826314,-73.97345602,40.78498462,-73.94344365
40.78118721,-73.97585927,40.78498462,-73.94344365
40.80361816,-73.96052882,40.78498462,-73.94344365
40.71696143,-73.991493,40.78498462,-73.94344365
40.78236005,-73.97500519,40.78498462,-73.94344365
40.78232067,-73.97503387,40.78498462,-73.94344365
40.78177137,-73.97547309,40.78498462,-73.94344365
40.78253631,-73.97487683,40.78321209,-73.94461511
40.78175874,-73.97544308,40.78321209,-73.94461511
40.71588144,-73.99204077,40.78932195,-73.9393267
40.78215257,-73.97515628,40.78932195,-73.9393267
40.78223042,-73.97250656,40.78932195,-73.9393267
40.78265566,-73.97351346,40.78856456,-73.93961991
40.77317474,-73.95824842,40.78932195,-73.9393267
40.78102152,-73.97597993,40.78856456,-73.93961991
40.80017463,-73.94728297,40.78667477,-73.94221081
40.78110556,-73.97591872,40.80270826,-73.95851237
40.80038764,-73.94778833,40.80285919,-73.95840753
40.77933026,-73.96004119,40.80203049,-73.95900041
40.80031469,-73.94761525,40.80227471,-73.95881966
40.78489887,-73.97237861,40.8027604,-73.95847622
40.80027874,-73.94752996,40.80285919,-73.95840753
40.78280389,-73.97386447,40.80402265,-73.95757602
40.78285948,-73.97392546,40.80406929,-73.95753987
40.7814384,-73.97567635,40.80411044,-73.95748567
40.78227984,-73.9750636,40.80784255,-73.95556877
40.73687667,-74.00309731,40.78932195,-73.9393267
40.78210694,-73.97518951,40.78934943,-73.93939168
40.78206372,-73.97522099,40.78549172,-73.94208184
40.78202289,-73.97525071,40.78319837,-73.94462234
40.78275271,-73.97374326,40.78319837,-73.94462234
40.71597009,-73.99199598,40.79111407,-73.93896393
40.80392477,-73.96042285,40.78934943,-73.93939168
40.80035116,-73.94770179,40.79111407,-73.93896393
40.78164588,-73.97552527,40.79111407,-73.93896393
40.80881155,-73.96331506,40.79111407,-73.93896393
40.80873191,-73.96337335,40.79226005,-73.93653237
40.78156039,-73.97558752,40.79226005,-73.93653237
40.78136313,-73.97577037,40.79226005,-73.93653237
40.80372089,-73.96049331,40.79226005,-73.93653237
40.80042359,-73.94787361,40.79226005,-73.93653237
40.80013815,-73.94719642,40.79226005,-73.93653237
40.71605719,-73.99195197,40.79226005,-73.93653237
40.78152197,-73.9756155,40.79226005,-73.93653237
40.78084717,-73.97610688,40.79491484,-73.93280268
40.78499669,-73.97261197,40.79447612,-73.93356516
40.71578511,-73.99208944,40.71885727,-73.98436161
40.80382443,-73.96045753,40.71885727,-73.98436161
40.78285402,-73.97398315,40.71885727,-73.98436161
40.77188068,-73.98268494,40.78321209,-73.94461511
40.77910483,-73.96020628,40.78321209,-73.94461511
40.7814773,-73.97564803,40.78321209,-73.94461511
40.71147735,-73.99231298,40.78321209,-73.94461511
40.78297279,-73.97419376,40.78321209,-73.94461511
40.78287801,-73.97403997,40.78321209,-73.94461511
40.73315593,-73.97573348,40.78321209,-73.94461511
40.76935554,-73.95945838,40.78321209,-73.94461511
40.80234416,-73.96096912,40.78321209,-73.94461511
40.79002747,-73.96944578,40.78321209,-73.94461511
40.73320114,-73.97584039,40.78321209,-73.94461511
40.76930689,-73.9593436,40.78321209,-73.94461511
40.8021517,-73.96103563,40.78321209,-73.94461511
40.78219435,-73.97512586,40.79491484,-73.93280268
40.78131208,-73.97576834,40.79515379,-73.93307331
40.73310979,-73.97562436,40.79447612,-73.93356516
40.80205905,-73.96106765,40.79192345,-73.93837091
40.79011916,-73.9693774,40.79192345,-73.93837091
40.74771026,-73.9962801,40.79192345,-73.93837091
40.72171818,-73.98906406,40.79192345,-73.93837091
40.72065028,-73.99178983,40.73300462,-74.00673297
40.7827807,-73.97380954,40.7894786,-73.93969852
40.73306471,-73.97551777,40.7894786,-73.93969852
40.80196427,-73.96110041,40.7894786,-73.93969852
40.78282922,-73.97392444,40.7894786,-73.93969852
40.78996685,-73.96945155,40.7894786,-73.93969852
40.79006332,-73.96937961,40.7894786,-73.93969852
40.73482571,-73.99912487,40.7894786,-73.93969852
40.71194183,-73.99229337,40.76321732,-73.95933476
40.78968747,-73.96965989,40.78983584,-73.96827096
40.78977773,-73.96959258,40.7897507,-73.96806876
40.71202303,-73.99230626,40.78985232,-73.96831067
40.79899859,-73.97014165,40.78985232,-73.96831067
40.8052723,-73.96590138,40.78981936,-73.96823124
40.80522321,-73.96593682,40.78968203,-73.96790629
40.78449733,-73.95550573,40.78988528,-73.96839372
40.78416789,-73.9797479,40.7897507,-73.96806876
40.76949379,-73.98468914,40.7897507,-73.96806876
40.71522051,-73.99648007,40.79602625,-73.93245845
40.71534108,-73.99640764,40.77234,-73.98257856
40.80523575,-73.9659669,40.78905088,-73.96839411
40.77339172,-73.98225525,40.78937546,-73.97104826
40.79868999,-73.97160872,40.77234,-73.98257856
40.77681345,-73.98207291,40.78951277,-73.97137322
40.71648203,-73.991738,40.78937546,-73.97104826
40.79882018,-73.97191639,40.78937546,-73.97104826
40.72120241,-73.98931936,40.81241985,-73.95331509
40.72014319,-73.98993412,40.72563438,-73.98672676
40.78984121,-73.96958467,40.72490697,-73.98632644
40.77350281,-73.98222545,40.72484108,-73.98617132
40.80509256,-73.96607025,40.72484108,-73.98617132
40.79893553,-73.96999067,40.72467635,-73.98578532
40.72103989,-73.98240504,40.72563438,-73.98672676
40.77331985,-73.98225233,40.72490697,-73.98632644
40.80499146,-73.96610409,40.72484108,-73.98617132
40.7211792,-73.98286644,40.72467635,-73.98578532
40.80882617,-73.96307414,40.72451436,-73.98539571
40.7735714,-73.98222823,40.72491257,-73.98725003
40.80505114,-73.96606101,40.72505523,-73.98672327
40.7844215,-73.97959844,40.72491257,-73.98725003
40.79483602,-73.97363412,40.78760827,-73.97276435
40.78660049,-73.94814077,40.73427838,-73.99909792
40.79902675,-73.97020907,40.78490416,-73.97055549
40.71226723,-73.97909079,40.78486846,-73.97047245
40.71225075,-73.97934236,40.78504423,-73.97088765
40.78975191,-73.96965127,40.78520077,-73.97125952
40.71210723,-73.99231962,40.80147894,-73.95940168
40.71223592,-73.97956877,40.80160791,-73.95930769
40.71217964,-73.98042769,40.79046754,-73.96982354
