latitude15,longitude15,latitude05,longitude05
40.76363173,-73.96169145,40.73239259,-74.00566488
40.71526804,-73.99648919,40.78687824,-73.97308243
40.7142441,-73.99595024,40.80330873,-73.95679989
40.71373185,-73.97890761,40.8020245,-73.95761703
40.71960689,-73.98259125,40.76650069,-73.97053475
40.74965085,-73.969363,40.80167778,-73.94284433
40.76255638,-73.98689857,40.80171624,-73.94293098
40.71523135,-73.99651124,40.80164205,-73.94275767
40.72237077,-73.99071308,40.73919831,-73.98197878
40.71534244,-73.99644451,40.73919831,-73.98197878
40.73697238,-74.00243877,40.80160633,-73.9426674
40.71537863,-73.99642276,40.80156786,-73.94258075
40.71528042,-73.99644408,40.80035324,-73.93974646
40.71545583,-73.99637404,40.80027904,-73.93956594
40.71541109,-73.99640327,40.77321201,-73.98827698
40.78163624,-73.95207411,40.80035324,-73.93974646
40.7165803,-73.99175898,40.77322847,-73.98826975
40.78178933,-73.95196452,40.77322847,-73.98826975
40.72257271,-73.99060928,40.80240775,-73.94260531
40.71545778,-73.99633259,40.77328613,-73.98844665
40.77160256,-73.95073395,40.77384412,-73.95022271
40.71519529,-73.99649521,40.77384412,-73.95022271
40.71420078,-73.99654777,40.77254348,-73.95107573
40.71412454,-73.99692202,40.77247479,-73.95091331
40.71706885,-73.99151205,40.77282459,-73.95385553
40.71299485,-74.00151275,40.77282459,-73.95385553
40.78169145,-73.95203459,40.77204156,-73.95195702
40.71692843,-73.99150986,40.80376199,-73.95783987
40.81164467,-73.96122768,40.80594096,-73.95690655
40.7245888,-73.97439581,40.75725607,-73.98236373
40.72055059,-73.98076633,40.75725607,-73.98236373
40.7815885,-73.95210828,40.75725607,-73.98236373
40.78173966,-73.95200007,40.75725607,-73.98236373
40.72066274,-73.98114408,40.75725607,-73.98236373
40.73897648,-73.98157475,40.71903665,-74.00468973
40.78955899,-73.94214997,40.80065161,-73.96414462
40.7255632,-74.00038146,40.79955599,-73.96265351
40.71580677,-73.99632576,40.77836873,-73.98314888
40.71644443,-73.99175722,40.70852705,-74.0014067
40.71637996,-73.99179016,40.70845293,-74.00155819
40.80165464,-73.96275225,40.70859567,-74.00123357
40.73898974,-73.98160635,40.75996896,-73.99222471
40.80441587,-73.96652993,40.75998544,-73.99226802
40.7815225,-73.95234026,40.80597116,-73.95693542
40.72559211,-74.00044067,40.80784255,-73.95556877
40.77121294,-73.95937038,40.74560971,-73.9799344
40.80441388,-73.96657024,40.8078233,-73.95547847
40.78158957,-73.95249943,40.82210323,-73.9469782
40.71714468,-73.99147373,40.82217731,-73.94692395
40.84185995,-73.9355864,40.7320825,-73.99596605
40.72373733,-74.00752701,40.72489487,-73.97891602
40.7284177,-73.98527711,40.72489487,-73.97891602
40.73316524,-74.00849596,40.72489487,-73.97891602
40.77650047,-73.95638799,40.72489487,-73.97891602
40.72518595,-74.00032399,40.81550188,-73.93561426
40.73337289,-74.00839422,40.81550188,-73.93561426
40.72581126,-73.99966349,40.81550188,-73.93561426
40.73633023,-74.007578,40.81694778,-73.93460128
40.72524367,-74.00027521,40.80324413,-73.96933012
40.72944149,-74.00377706,40.80324413,-73.96933012
40.78777952,-73.97920656,40.80324413,-73.96933012
40.77973515,-73.95592324,40.83310471,-73.94262942
40.73295838,-74.0100737,40.83310471,-73.94262942
40.76833167,-73.95925667,40.77275448,-73.98817048
40.80163727,-73.93875115,40.77329488,-73.98182153
40.73268596,-74.01009897,40.77329488,-73.98182153
40.77668151,-73.95707687,40.80242867,-73.96833358
40.78383673,-73.98195145,40.80025036,-73.94253493
40.73871236,-74.00878661,40.80025036,-73.94253493
40.72752307,-73.98717349,40.80025036,-73.94253493
40.79756854,-73.93690955,40.79817875,-73.93848431
40.79761979,-73.93703157,40.77726106,-73.95636185
40.80943684,-73.93974933,40.77659696,-73.95670168
40.76646452,-73.96520113,40.79697488,-73.9682495
40.7975943,-73.93697087,40.79697488,-73.9682495
40.81040046,-73.93981677,40.77533949,-73.95569155
40.80984797,-73.93853852,40.79963525,-73.94193951
40.8073307,-73.9402942,40.79747795,-73.93683079
40.79653898,-73.93445675,40.79887301,-73.9381875
40.79617497,-73.93386879,40.76069994,-73.96647636
40.73759375,-74.00904474,40.77676046,-73.96107763
40.80040802,-73.93972607,40.76821947,-73.96300683
40.80220467,-73.93908641,40.76821947,-73.96300683
40.80046789,-73.93986823,40.80843837,-73.95613912
40.80232754,-73.94063948,40.77719173,-73.96209919
