latitude15,longitude15,latitude05,longitude05
40.72813901,-74.00239005,40.78632487,-73.9781274
40.71794533,-73.99102583,40.78608338,-73.9783297
40.71789414,-73.99105107,40.78608338,-73.9783297
40.78244491,-73.97294379,40.78608338,-73.9783297
40.78026208,-73.98332842,40.78608338,-73.9783297
40.8063837,-73.95925026,40.78608338,-73.9783297
40.80630254,-73.95930941,40.78608338,-73.9783297
40.80645957,-73.95919495,40.78533101,-73.97674829
40.74466182,-73.98138501,40.72893328,-73.98434842
40.80649871,-73.95916643,40.78603274,-73.94270248
40.77280908,-73.95182787,40.78603274,-73.94270248
40.83960415,-73.94212566,40.78603274,-73.94270248
40.7847332,-73.97936428,40.78603274,-73.94270248
40.77975952,-73.98241218,40.78827414,-73.9684631
40.78066524,-73.98145843,40.78672445,-73.97271415
40.72893866,-73.97915741,40.78806434,-73.97472505
40.80654817,-73.95913037,40.78782833,-73.97489848
40.80240036,-73.96452656,40.77590951,-73.98360082
40.80124342,-73.96177571,40.77590951,-73.98360082
40.806613,-73.95908312,40.77590951,-73.98360082
40.80224582,-73.95301317,40.77590951,-73.98360082
40.80667663,-73.95903674,40.710741,-73.98424087
40.80633949,-73.96515907,40.7898688,-73.96835039
40.77659561,-73.98208122,40.77744465,-73.98892532
40.7966638,-73.97070486,40.79531841,-73.93297563
40.79673388,-73.97087054,40.79531841,-73.93297563
40.74809588,-73.98184469,40.79485201,-73.93331559
40.8431667,-73.93733408,40.78738582,-73.97223359
40.80640021,-73.96511473,40.787438,-73.97235635
40.78909172,-73.97640034,40.78752313,-73.97255854
40.81147849,-73.96130804,40.78735286,-73.97215416
40.74803943,-73.98171047,40.77069366,-73.9668829
40.79057716,-73.97477733,40.77100905,-73.96601266
40.79220361,-73.97555725,40.74763692,-74.00607761
40.78386674,-73.97215391,40.77036683,-73.96615379
40.78374471,-73.97186472,40.77036683,-73.96615379
40.74472018,-73.97795572,40.77033936,-73.96608882
40.78873111,-73.97619759,40.77031189,-73.96602385
40.83122612,-73.94691034,40.77032563,-73.96605633
40.79867375,-73.96962214,40.77021851,-73.96580006
40.79648269,-73.97195265,40.77024597,-73.96586503
40.78804008,-73.97678489,40.77021851,-73.96580006
40.79661098,-73.97208542,40.81658075,-73.94675861
40.78676426,-73.97785969,40.79156286,-73.97045865
40.78672948,-73.977846,40.78992319,-73.96656637
40.79665984,-73.97204943,40.78992319,-73.96656637
40.76567704,-73.9675354,40.78992319,-73.96656637
40.7261084,-73.99860221,40.78997537,-73.96668913
40.78682598,-73.97777487,40.81200062,-73.95508914
40.74733466,-73.97812359,40.81200062,-73.95508914
