latitude15,longitude15,latitude05,longitude05
40.78993607,-73.97721169,40.83475292,-73.94548287
40.74503399,-73.98253015,40.83334211,-73.94541898
40.73599985,-73.99985935,40.78614649,-73.97825746
40.80230109,-73.9620798,40.71949707,-73.98646103
40.73998079,-74.00504966,40.78918252,-73.94037771
40.78220389,-73.97237311,40.78918252,-73.94037771
40.78080395,-73.97613836,40.78918252,-73.94037771
40.80907709,-73.96312072,40.78856456,-73.93961991
40.781923,-73.97532346,40.71601698,-74.01103479
40.80239611,-73.96230577,40.71601698,-74.01103479
40.75715997,-73.98223654,40.7142025,-74.01289581
40.77984411,-73.98261058,40.7142025,-74.01289581
40.76928414,-73.9821215,40.7142025,-74.01289581
40.72022239,-73.98989324,40.7142025,-74.01289581
40.78185638,-73.97541118,40.7142025,-74.01289581
40.74414068,-73.9801313,40.7142025,-74.01289581
40.76931763,-73.98215672,40.7142025,-74.01289581
40.78366771,-73.97364707,40.71601698,-74.01103479
40.7142111,-73.99270449,40.71601698,-74.01103479
40.73597258,-73.99979465,40.71601698,-74.01103479
40.78291731,-73.97463858,40.71601698,-74.01103479
40.74417854,-73.9802213,40.71601698,-74.01103479
40.71875645,-73.99061002,40.79525366,-73.92979076
40.7693758,-73.98215831,40.78549172,-73.94208184
40.72910958,-73.97956172,40.78629769,-73.94014919
40.72906345,-73.9794526,40.78629769,-73.94014919
40.80248808,-73.96252446,40.78629769,-73.94014919
40.71337314,-73.99258531,40.78934943,-73.93939168
40.78362693,-73.95734472,40.79111407,-73.93896393
40.81089603,-73.9617956,40.78934943,-73.93939168
40.78293778,-73.97367039,40.79111407,-73.93896393
40.789835,-73.97621435,40.79192345,-73.93837091
40.78055618,-73.98145427,40.79192345,-73.93837091
40.83301527,-73.94564056,40.79111407,-73.93896393
40.74421095,-73.98029836,40.79192345,-73.93837091
40.78297571,-73.97376081,40.79192345,-73.93837091
40.83972275,-73.94235337,40.79192345,-73.93837091
40.81010258,-73.96237155,40.79192345,-73.93837091
40.77016368,-73.98212643,40.79650089,-73.93211125
40.74739401,-73.97887588,40.79615206,-73.93169626
40.78268257,-73.97306217,40.79613557,-73.93166016
40.78550341,-73.9787489,40.78698289,-73.94366223
40.80283627,-73.96555738,40.79491484,-73.93280268
40.78061789,-73.98143677,40.78986606,-73.96839012
40.83929011,-73.94152271,40.76952869,-73.98951232
40.83318211,-73.94547935,40.76969615,-73.98990942
40.83297141,-73.94563334,40.76952869,-73.98951232
40.76922212,-73.98211981,40.76952869,-73.98951232
40.80223836,-73.96193064,40.84312824,-73.93706935
40.76950917,-73.98216195,40.84307052,-73.93693206
40.77274745,-73.95825318,40.84249716,-73.93743859
40.74725406,-73.97897864,40.84257136,-73.937612
40.77023559,-73.98212772,40.84257136,-73.937612
40.76944551,-73.98216021,40.84334538,-73.93763296
40.78277082,-73.97474526,40.84319422,-73.93727168
40.80244289,-73.96241701,40.84254665,-73.93760118
40.7837096,-73.97374616,40.84326843,-73.93745232
40.80919195,-73.96307592,40.84304307,-73.9369104
40.74747069,-73.97881957,40.84248067,-73.93740608
40.77008958,-73.98212511,40.84252464,-73.93751085
40.79938844,-73.97131843,40.76335062,-73.99442995
40.7897542,-73.97734314,40.76342748,-73.99466459
40.80913778,-73.9630763,40.80864072,-73.95417387
40.71805912,-73.9909675,40.79111843,-73.97131475
40.7808952,-73.97607191,40.74760673,-74.00604873
40.78365573,-73.95765716,40.74748598,-74.00576722
40.81019253,-73.96234526,40.74750244,-74.00580692
40.78370311,-73.95776959,40.74741462,-74.00555428
40.76307475,-73.98813033,40.74741462,-74.00555428
40.78388438,-73.95819972,40.74741462,-74.00555428
40.78300941,-73.9738411,40.74741462,-74.00555428
40.80259812,-73.96278614,40.74741462,-74.00555428
40.81015301,-73.96233482,40.74741462,-74.00555428
40.83311894,-73.94556479,40.7474997,-74.00575639
40.83235716,-73.94612134,40.74758478,-74.00595851
40.72897625,-73.97924634,40.76327934,-73.99651647
40.78168079,-73.95297673,40.81658075,-73.94675861
40.75344147,-73.96694052,40.81737167,-73.94771176
40.81106551,-73.96171153,40.81658075,-73.94675861
40.78276083,-73.97324868,40.81658075,-73.94675861
40.74403322,-73.97987581,40.7914063,-73.9700398
