name,count_2015,count_2005
Honeylocust,13176,11529
Callery Pear,7297,7748
Ginkgo,5859,4887
Pin Oak,4584,2670
Japanese Pagoda Tree,4453,1643
London Planetree,4122,4029
Japanese Zelkova,3596,2016
Littleleaf Linden,3333,3093
American Elm,1698,1302
American Linden,1583,707
Northern Red Oak,1143,1149
Willow Oak,889,658
Cherry,869,359
Chinese Elm,785,285
Green Ash,770,912
Others,8271,6899
