spc_common,count_2005,count_2015
Honeylocust,11529,13176
Callery Pear,7748,7297
Ginkgo,4887,5859
London Planetree,4029,4122
Littleleaf Linden,3093,3333
Pin Oak,2670,4584
Japanese Zelkova,2016,3596
Japanese Pagoda Tree,1643,4453
American Elm,1302,1698
Northern Red Oak,1149,1143
Unknown Dead,1078,0
Green Ash,912,770
Black Locust,909,259
American Linden,707,1583
Willow Oak,658,889
Others,5556,9666
