PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER_q1,RAPE_q1,ROBBERY_q1,FELONY ASSAULT_q1,BURGLARY_q1,GRAND LARCENY_q1,GRAND LARCENY OF MOTOR VEHICLE_q1,TOTAL_q1,MURDER_q2,RAPE_q2,ROBBERY_q2,FELONY ASSAULT_q2,BURGLARY_q2,GRAND LARCENY_q2,GRAND LARCENY OF MOTOR VEHICLE_q2,TOTAL_q2,MURDER_q3,RAPE_q3,ROBBERY_q3,FELONY ASSAULT_q3,BURGLARY_q3,GRAND LARCENY_q3,GRAND LARCENY OF MOTOR VEHICLE_q3,TOTAL_q3,TOTAL,CRIME OR NOT,CRIME OR NOT_q1,CRIME OR NOT_q2,CRIME OR NOT_q3
CONFERENCE HOUSE PARK,STATEN ISLAND,286.38 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
RANDALL'S ISLAND PARK,MANHATTAN    ,256.11 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,1 ,0,15 ,0,16 ,0 ,0,0,0,1 ,51 ,0,52 ,68 ,1 ,0,1,1
ROCKAWAY COMMUNITY PARK,QUEENS       ,255.40 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
KISSENA PARK,QUEENS       ,237.15 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0,0,2 ,1 ,0,1 ,0,4 ,0 ,0,0,1 ,0,2 ,0,3 ,8 ,1 ,1,1,1
RIVERSIDE PARK,MANHATTAN    ,235.77 ,ONE ACRE OR LARGER,0 ,0 ,1 ,0 ,0 ,1 ,0 ,2 ,0,3 ,1 ,0,0,4 ,0,8 ,0 ,0,7 ,0,2 ,9 ,0,18 ,28 ,1 ,1,1,1
HUTCHINSON RIVER PARKWAY,BRONX        ,229.14 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
BLUE HERON PARK,STATEN ISLAND,217.45 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
DYKER BEACH PARK,BROOKLYN     ,216.66 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,1 ,0,1 ,0,2 ,2 ,1 ,0,0,1
WILLOWBROOK PARK,STATEN ISLAND,214.95 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.93 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
SILVER LAKE PARK,STATEN ISLAND,205.98 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,0,0,0,0,1 ,0 ,0,0,0,0,0,0,0 ,1 ,1 ,0,1,0
BRONX RIVER PARKWAY,BRONX        ,205.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,1 ,1 ,0,0,0,2 ,0 ,0,1 ,0,0,1 ,0,2 ,4 ,1 ,0,1,1
SOUNDVIEW PARK,BRONX        ,205.31 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,1 ,1 ,0,0,0,0,2 ,0 ,0,0,1 ,0,0,0,1 ,3 ,1 ,0,1,1
BELT PARKWAY,QUEENS       ,202.65 ,ONE ACRE OR LARGER,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0 ,0 ,0,0,0,0,0,0,0 ,0 ,0 ,0,0,0
