PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
FORT TOTTEN PARK,1,QUEENS,0,0,0,0,0,1,0
ASTORIA PARK,9,QUEENS,0,0,3,6,0,0,0
LAURELTON PARKWAY,0,QUEENS,0,0,0,0,0,0,0
RED HOOK RECREATION AREA,2,BROOKLYN,0,0,1,0,0,1,0
SHORE PARK AND PARKWAY,0,BROOKLYN,0,0,0,0,0,0,0
SPRING CREEK PARK ADDITION,0,BROOKLYN/QUEENS,0,0,0,0,0,0,0
JUNIPER VALLEY PARK,2,QUEENS,0,0,1,0,0,1,0
LITTLE BAY PARK,1,QUEENS,0,0,0,1,0,0,0
POWELL'S COVE PARK,0,QUEENS,0,0,0,0,0,0,0
HENRY HUDSON PARKWAY,0,BRONX,0,0,0,0,0,0,0
HARLEM RIVER PARK,3,MANHATTAN,0,0,3,0,0,0,0
DUBOS POINT WILDLIFE SANCTUARY,0,QUEENS,0,0,0,0,0,0,0
ROY WILKINS RECREATION CENTER,2,QUEENS,0,0,0,1,0,1,0
REED'S BASKET WILLOW SWAMP PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
BROOKLYN BOTANIC GARDEN,0,BROOKLYN,0,0,0,0,0,0,0
MEREDITH WOODS,0,STATEN ISLAND,0,0,0,0,0,0,0
QUEENS FARM PARK,0,QUEENS,0,0,0,0,0,0,0
EAST RIVER PARK,5,MANHATTAN,0,0,2,0,0,3,0
CROCHERON PARK,0,QUEENS,0,0,0,0,0,0,0
MACOMBS DAM PARK,8,BRONX,0,0,4,0,0,4,0
MANHATTAN BEACH PARK,1,BROOKLYN,0,0,1,0,0,0,0
UDALL'S PARK PRESERVE,0,QUEENS,0,0,0,0,0,0,0
FAIRVIEW PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
BAYSWATER PARK,4,QUEENS,1,0,1,2,0,0,0
DEERE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
PARADE GROUND,1,BROOKLYN,0,0,0,0,0,1,0
CLAREMONT PARK,9,BRONX,0,0,7,1,0,1,0
BROAD CHANNEL WETLANDS,0,QUEENS,0,0,0,0,0,0,0
CONEY ISLAND BOAT BASIN,0,BROOKLYN,0,0,0,0,0,0,0
BUNKER PONDS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
SETON FALLS PARK,2,BRONX,0,0,1,1,0,0,0
MCCARREN PARK,10,BROOKLYN,0,0,1,0,0,9,0
ST. MARY'S PARK BRONX,11,BRONX,0,1,5,3,0,2,0
SHOOTERS ISLAND,0,STATEN ISLAND,0,0,0,0,0,0,0
NORTH BROTHER ISLAND,0,BRONX,0,0,0,0,0,0,0
FORT GREENE PARK,5,BROOKLYN,0,0,3,0,0,2,0
BATTERY PARK CITY,0,MANHATTAN,0,0,0,0,0,0,0
MORNINGSIDE PARK,4,MANHATTAN,0,0,3,0,0,1,0
MACNEIL PARK,1,QUEENS,0,0,0,1,0,0,0
ALLEY ATHLETIC PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
VERNAM BARBADOES PENINSULA,0,QUEENS,0,0,0,0,0,0,0
