PARK,TOTAL,BOROUGH,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE
ST. ANDREW'S PLAYGROUND,2,BROOKLYN,0,1,1,0,0,0,0
SEWARD PARK,0,MANHATTAN,0,0,0,0,0,0,0
BEHAGEN PLAYGROUND,1,BRONX,0,0,1,0,0,0,0
DUGAN PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
EVERGREEN PARK,0,QUEENS,0,0,0,0,0,0,0
JOHN JAY PARK,2,MANHATTAN,0,0,0,0,0,2,0
UNIVERSITY WOODS,0,BRONX,0,0,0,0,0,0,0
WATSON GLEASON PLAYGROUND,6,BRONX,0,0,3,1,0,2,0
TOTTENVILLE POOL,0,STATEN ISLAND,0,0,0,0,0,0,0
VITO LOCASCIO FIELD,0,QUEENS,0,0,0,0,0,0,0
CALLAHAN-KELLY PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
JUDGE MOSES WEINSTEIN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
COLUMBUS PARK AT MANHATTAN,3,MANHATTAN,0,0,0,1,0,2,0
GREENCROFT PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
BILL BROWN PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
SARATOGA PARK,0,BROOKLYN,0,0,0,0,0,0,0
SCARANGELLA PARK,0,BROOKLYN,0,0,0,0,0,0,0
NOBLE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
JAMAICA PLAYGROUND,1,QUEENS,0,0,0,1,0,0,0
MARCY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LYONS POOL,0,STATEN ISLAND,0,0,0,0,0,0,0
WAYANDA PARK,0,QUEENS,0,0,0,0,0,0,0
AMERICAN VETERANS MEMORIAL PIER,0,BROOKLYN,0,0,0,0,0,0,0
HOLCOMBE RUCKER PARK,0,MANHATTAN,0,0,0,0,0,0,0
JESSE OWENS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
EAST RIVER WALK,0,MANHATTAN,0,0,0,0,0,0,0
PARK OF THE AMERICAS,2,QUEENS,0,0,2,0,0,0,0
BROOKLYN HEIGHTS PROMENADE,1,BROOKLYN,0,0,0,0,0,1,0
J.J. BYRNE PLAYGROUND,1,BROOKLYN,0,0,0,0,0,1,0
HERO PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
NOSTRAND PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
FORT INDEPENDENCE PLAYGROUND,1,BRONX,0,0,0,1,0,0,0
BROWNSVILLE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GRANDVIEW PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
LAWRENCE VIRGILIO PLAYGROUND,1,QUEENS,0,0,0,1,0,0,0
JACOB JOFFE FIELDS,0,BROOKLYN,0,0,0,0,0,0,0
CLASSON PLAYGROUND AT CLASSON AVENUE & KENT,0,BROOKLYN,0,0,0,0,0,0,0
UTOPIA PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BATH BEACH PARK,0,BROOKLYN,0,0,0,0,0,0,0
GLEN OAKS OVAL,0,QUEENS,0,0,0,0,0,0,0
MERRIAM PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
POSEIDON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ROBERT E. VENABLE PARK,1,BROOKLYN,0,0,0,0,0,1,0
LEFFERTS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WALT WHITMAN PARK,0,BROOKLYN,0,0,0,0,0,0,0
WESTERLEIGH PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
PETERS FIELD,1,QUEENS,0,0,1,0,0,0,0
DELPHIN H. GREENE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
HOFFMAN PARK,2,QUEENS,0,0,1,0,0,1,0
MARKHAM PLAYGROUND,1,STATEN ISLAND,0,0,1,0,0,0,0
SPERANDEO BROTHERS PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,2,BROOKLYN,0,0,1,0,0,1,0
IRVING SQUARE PARK,1,BROOKLYN,0,0,1,0,0,0,0
ST. VARTAN PARK,2,MANHATTAN,0,0,0,0,0,2,0
RAVENSWOOD PLAYGROUND,2,QUEENS,0,0,2,0,0,0,0
GORMAN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LOUIS CUVILLIER PARK,0,MANHATTAN,0,0,0,0,0,0,0
GRACE PLAYGROUND,2,BROOKLYN,0,0,1,0,0,1,0
GREEN CENTRAL KNOLL,0,BROOKLYN,0,0,0,0,0,0,0
DETECTIVE WILLIAM T. GUNN PARK,1,QUEENS,0,0,1,0,0,0,0
HOLY COW PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BAYSIDE FIELDS,0,QUEENS,0,0,0,0,0,0,0
HICKMAN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ARBUTUS WOODS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
STARS & STRIPES PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
P.O. SERRANO PLAYGROUND,1,BRONX,0,0,0,0,0,1,0
COLEMAN PLAYGROUND,1,MANHATTAN,0,0,0,0,0,1,0
MARGARET I. CARMAN GREEN - WEEPING BEECH,1,QUEENS,0,0,1,0,0,0,0
KATHY REILLY TRIANGLE,0,BROOKLYN,0,0,0,0,0,0,0
RIVERDALE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MARIE CURIE PARK,0,QUEENS,0,0,0,0,0,0,0
EDENWALD PLAYGROUND,1,BRONX,0,0,1,0,0,0,0
THOMAS GREENE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MURRAY PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BATHGATE PLAYGROUND,3,BRONX,0,0,1,1,0,1,0
BIG BUSH PARK,1,QUEENS,0,0,0,0,0,1,0
JOSEPH RODMAN DRAKE PARK,0,BRONX,0,0,0,0,0,0,0
INDEPENCE PARK SYLVAN GROVE CEMETERY,0,STATEN ISLAND,0,0,0,0,0,0,0
ALLEY PARK,0,QUEENS,0,0,0,0,0,0,0
FREDERICK JOHNSON PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
DAMROSCH PARK,0,MANHATTAN,0,0,0,0,0,0,0
ASSER LEVY PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
HARRY MAZE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
LOST BATTALION HALL RECREATION CENTER,0,QUEENS,0,0,0,0,0,0,0
DUTCH KILLS PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
KOSCIUSZKO POOL,1,BROOKLYN,0,0,0,0,0,1,0
WEST PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HOMECREST PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
DE MATTI PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
POE PARK,2,BRONX,0,0,1,0,0,1,0
OVERLOOK PARK,0,QUEENS,0,0,0,0,0,0,0
BARUCH PLAYGROUND,1,MANHATTAN,0,0,0,1,0,0,0
FLOYD PATTERSON BALLFIELDS,0,BROOKLYN,0,0,0,0,0,0,0
OSBORN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
RAILROAD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TRIBORO PLAZA,0,MANHATTAN,0,0,0,0,0,0,0
POWER PLAYGROUND,2,BROOKLYN,0,0,0,2,0,0,0
MONSIGNOR CRAWFORD FIELD,0,BROOKLYN,0,0,0,0,0,0,0
MARTIN LUTHER KING JR. PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
P.O. REINALDO SALGADO PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,0,STATEN ISLAND,0,0,0,0,0,0,0
CENTURY PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
SOUTH PACIFIC PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
NORTH SHORE ESPLANADE,0,STATEN ISLAND,0,0,0,0,0,0,0
FOX PLAYGROUND BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
VLEIGH PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LAREDO AVENUE PARCEL,0,STATEN ISLAND,0,0,0,0,0,0,0
FREDERICK B. JUDGE PLAYGROUND,1,QUEENS,0,0,0,1,0,0,0
BELMONT PLAYGROUND BRONX,2,BRONX,0,0,1,0,0,1,0
MAHONEY PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
ANCHORAGE PLAZA,0,BROOKLYN,0,0,0,0,0,0,0
ASTORIA HEIGHTS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
HOYT PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LORETO PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
HARDING PARK,0,BRONX,0,0,0,0,0,0,0
WASHINGTON MARKET PARK,1,MANHATTAN,0,0,0,0,0,1,0
VIDALIA PARK,0,BRONX,0,0,0,0,0,0,0
UNNAMED PARK ON E 122ND STREET,0,MANHATTAN,0,0,0,0,0,0,0
BRIDGE PARK BROOKLYN,3,BROOKLYN,0,0,0,0,0,3,0
HAMILTON METZ FIELD,2,BROOKLYN,0,0,1,0,0,1,0
CARDOZO PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CENTREVILLE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
REDFERN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
SHEEPSHEAD PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
STORY PLAYGROUND,1,BRONX,0,0,0,1,0,0,0
SAKURA PARK,0,MANHATTAN,0,0,0,0,0,0,0
LINNAEUS PARK,0,QUEENS,0,0,0,0,0,0,0
CASTLEWOOD PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
SKYLINE PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
CLOVE'S TAIL,0,STATEN ISLAND,0,0,0,0,0,0,0
DANIEL M. O'CONNELL PLAYGROUND,1,QUEENS,0,0,0,1,0,0,0
CHALLENGE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
TORSNEY PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LOCUST MANOR PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
PLAYGROUND ONE THIRTY FOUR CXXXIV,0,BRONX,0,0,0,0,0,0,0
FULTON PARK,3,BROOKLYN,0,0,2,0,0,1,0
ANDREW HASWELL GREEN PARK,0,MANHATTAN,0,0,0,0,0,0,0
MOORE HOMESTEAD PLAYGROUND,4,QUEENS,0,0,3,1,0,0,0
MCLAUGHLIN PARK,1,BROOKLYN,0,0,0,0,0,1,0
COLONEL DAVID MARCUS PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
SUMNER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ROSEMARY'S PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
SAUL WEPRIN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
FREDERICK DOUGLASS PLAYGROUND,1,MANHATTAN,0,0,1,0,0,0,0
UNNAMED PARK ON HEMPSTEAD AVENUE,0,QUEENS,0,0,0,0,0,0,0
BRIDGE PARK 3,0,BROOKLYN,0,0,0,0,0,0,0
THE PAINTER'S PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
ROBERTO CLEMENTE BALLFIELD,0,BROOKLYN,0,0,0,0,0,0,0
TERRACE PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
TRAVERS PARK,2,QUEENS,0,0,1,0,0,1,0
BUFANO PARK,0,BRONX,0,0,0,0,0,0,0
DIMATTINA PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HERMAN DOLGON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GORMAN PARK,3,MANHATTAN,0,0,3,0,0,0,0
WILLIS PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
WEST BRONX RECREATION CENTER,0,BRONX,0,0,0,0,0,0,0
THOMAS PAINE PARK,0,MANHATTAN,0,0,0,0,0,0,0
CARROLL PARK,1,BROOKLYN,0,0,0,0,0,1,0
COLGATE CLOSE,0,BRONX,0,0,0,0,0,0,0
LONDON PLANETREE PLAYGROUND,1,QUEENS,0,0,0,0,1,0,0
SUTTER BALLFIELDS,0,BROOKLYN,0,0,0,0,0,0,0
TAAFFE PLAYGROUND,1,BROOKLYN,0,0,0,0,0,1,0
GIVAN SQUARE,1,BRONX,0,0,0,0,0,1,0
THOMAS BOYLAND PARK,0,BROOKLYN,0,0,0,0,0,0,0
HAROLD ICKES PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
REV J POLITE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MAPES BALLFIELD,0,BRONX,0,0,0,0,0,0,0
MIDLAND MALLS,0,QUEENS,0,0,0,0,0,0,0
CEDAR PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
BENNETT PARK,2,MANHATTAN,0,1,0,1,0,0,0
CONCH PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
RAYMOND BUSH PLAYGROUND,3,BROOKLYN,0,0,0,3,0,0,0
PLAYGROUND 52 LII,0,BRONX,0,0,0,0,0,0,0
DR. GREEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BRUST PARK,0,BRONX,0,0,0,0,0,0,0
LAURELTON PLAYGROUND,1,QUEENS,0,0,0,0,0,1,0
SIMEONE PARK,0,QUEENS,0,0,0,0,0,0,0
MANOR PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
TAPPEN PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
LUNA PARK,5,BROOKLYN,0,0,1,3,0,1,0
ALFRED E. SMITH PLAYGROUND,2,MANHATTAN,0,0,0,2,0,0,0
ELECTRIC PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
YELLOWSTONE PARK,1,QUEENS,0,0,0,0,0,1,0
CORONA GOLF PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
WILSON PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
NORTHERN PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
BARTEL-PRITCHARD SQUARE,0,BROOKLYN,0,0,0,0,0,0,0
DOUGHBOY PLAZA,1,QUEENS,0,0,0,1,0,0,0
CASTLE HILL LITTLE LEAGUE FIELD,0,BRONX,0,0,0,0,0,0,0
GRAND FERRY PARK,0,BROOKLYN,0,0,0,0,0,0,0
HAPPY WARRIOR PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
ALLEN MALL ONE,1,MANHATTAN,0,0,0,0,0,1,0
PLAYGROUND ONE TWENTY FIVE CXXV,0,MANHATTAN,0,0,0,0,0,0,0
STAR SPANGLED PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PATTERSON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MOUNT EDEN MALLS,0,BRONX,0,0,0,0,0,0,0
MIDLAND PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
ADAM CLAYTON POWELL JR. MALLS,0,MANHATTAN,0,0,0,0,0,0,0
BANNEKER PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
JAMES J WALKER PARK,2,MANHATTAN,0,0,1,1,0,0,0
WHITESTONE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
EQUITY PARK,0,QUEENS,0,0,0,0,0,0,0
THURSBY BASIN PARK,0,QUEENS,0,0,0,0,0,0,0
BELL MALLS,0,QUEENS,0,0,0,0,0,0,0
LEIF ERICSON FIELDS,2,BROOKLYN,0,0,0,0,0,2,0
NEHEMIAH PARK,0,BROOKLYN,0,0,0,0,0,0,0
MARBLE HILL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
WAGNER HOUSES POOL,0,MANHATTAN,0,0,0,0,0,0,0
HARLEM LANE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
CROWLEY PLAYGROUND,1,QUEENS,0,0,0,0,0,1,0
BURNS PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
100% PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
JACKIE ROBINSON PARK BROOKLYN,1,BROOKLYN,0,0,0,0,0,1,0
IDA COURT,0,STATEN ISLAND,0,0,0,0,0,0,0
JENNIFER'S PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
REAL GOOD PARK,0,QUEENS,0,0,0,0,0,0,0
ALLERTON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
OCEAN HILL PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BELLEVUE SOUTH PARK,0,MANHATTAN,0,0,0,0,0,0,0
MAZZEI PLAYGROUND,1,BRONX,0,0,0,0,0,1,0
DAG HAMMARSKJOLD PLAZA,0,MANHATTAN,0,0,0,0,0,0,0
KOLBERT PLAYGROUND,1,BROOKLYN,0,0,0,1,0,0,0
POOR RICHARD'S PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
OLMSTED-BEIL HOUSE PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
TAYLOR PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
JOAN OF ARC PARK,0,MANHATTAN,0,0,0,0,0,0,0
HARMONY PARK,0,BROOKLYN,0,0,0,0,0,0,0
BRIARWOOD PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
CLINTONVILLE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
FLATBUSH MALLS,0,BROOKLYN,0,0,0,0,0,0,0
WASHINGTON PARK BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
JOHN HANCOCK PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
FRANK D. O'CONNOR PLAYGROUND,3,QUEENS,0,0,2,0,0,1,0
OLD TOWN PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
HUGUENOT PONDS PARK,0,STATEN ISLAND,0,0,0,0,0,0,0
REIFF PLAYGROUND,3,QUEENS,0,0,2,0,0,1,0
RUSSELL SAGE PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
ROGER MORRIS PARK,0,MANHATTAN,0,0,0,0,0,0,0
BROAD CHANNEL PARK,0,QUEENS,0,0,0,0,0,0,0
SPUYTEN DUYVIL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
JOHN ALLEN PAYNE PARK,0,BROOKLYN,0,0,0,0,0,0,0
BULOVA PARK,0,QUEENS,0,0,0,0,0,0,0
DECATUR PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GOLCONDA PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
DRY DOCK PLAYGROUND,2,MANHATTAN,0,0,0,0,1,1,0
MAPLE GROVE PARK,1,QUEENS,0,0,1,0,0,0,0
UNNAMED PARK ON RIVERSIDE DRIVE,0,MANHATTAN,0,0,0,0,0,0,0
MARX BROTHERS PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
BREVOORT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PLAYGROUND SIXTY TWO LXII,0,QUEENS,0,0,0,0,0,0,0
TALL OAK PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
FRONTERA PARK,0,QUEENS,0,0,0,0,0,0,0
COLDEN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
LUTHER GULICK PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
PULASKI PARK,1,BRONX,0,0,0,0,0,1,0
BOOKER T. WASHINGTON PLAYGROUND,2,MANHATTAN,0,0,1,0,0,1,0
DUNBAR PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
PLAYGROUND TWENTY ONE,0,QUEENS,0,0,0,0,0,0,0
PROSPECT PLAYGROUND,2,BRONX,0,0,0,2,0,0,0
WOODS PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
GLENWOOD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
SHELTERING ARMS PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
ALMEDA PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
GAETA PARK,1,STATEN ISLAND,0,0,0,0,0,1,0
MALL FORTY TWO XLII,0,QUEENS,0,0,0,0,0,0,0
NORELLI-HARGREAVES PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
BILDERSEE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PULASKI PLAYGROUND,1,BROOKLYN,0,0,1,0,0,0,0
MACDONALD PARK,0,QUEENS,0,0,0,0,0,0,0
OWEN F. DOLEN PARK,0,BRONX,0,0,0,0,0,0,0
VAN DYKE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
WILLIAMSBRIDGE SQUARE,0,BRONX,0,0,0,0,0,0,0
PEOPLE'S PARK,1,BRONX,0,0,0,0,0,1,0
DOME PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
RUSSELL PEDERSEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ST. CATHERINE'S PARK,0,MANHATTAN,0,0,0,0,0,0,0
HOWARD VON DOHLEN PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
NAUTILUS PLAYGROUND BROOKLYN,1,BROOKLYN,0,0,0,0,0,1,0
HAVEN AVENUE,1,MANHATTAN,0,0,0,1,0,0,0
ARCILLA PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
FOUNTAIN OF YOUTH PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
MARTINEZ PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HILLSIDE PARK BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
PLAYGROUND ONE FORTY,0,QUEENS,0,0,0,0,0,0,0
LT. LIA PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
CRACK IS WACK PLAYGROUND,1,MANHATTAN,0,0,0,1,0,0,0
CASTLE HILL PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
ADAM YAUCH PARK,0,BROOKLYN,0,0,0,0,0,0,0
HOPE BALLFIELD,0,BROOKLYN,0,0,0,0,0,0,0
DR. RONALD MCNAIR PARK,0,BROOKLYN,0,0,0,0,0,0,0
ADMIRAL FARRAGUT PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
MCDONALD PLAYGROUND STATEN ISLAND,0,STATEN ISLAND,0,0,0,0,0,0,0
UNNAMED PARK ON VANDALIA AVENUE,0,BROOKLYN,0,0,0,0,0,0,0
FRESH MEADOWS PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
PLAYGROUND EIGHTY LXXX,0,QUEENS,0,0,0,0,0,0,0
PRINTER'S PARK,0,BRONX,0,0,0,0,0,0,0
RENAISSANCE PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,0,BROOKLYN,0,0,0,0,0,0,0
REMSEN PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
MARC AND JASON'S PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
VETERANS PARK STATEN ISLAND,0,STATEN ISLAND,0,0,0,0,0,0,0
LYONS SQUARE PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
AGNES HAYWOOD PLAYGROUND,3,BRONX,0,0,3,0,0,0,0
MARION HOPKINSON PLAYGROUND,1,BROOKLYN,0,0,0,0,0,1,0
AMPERE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
POTOMAC PLAYGROUND,2,BROOKLYN,0,0,0,1,0,1,0
DETECTIVE JOSEPH MAYROSE PARK,1,BROOKLYN,0,0,1,0,0,0,0
PAUL RAIMONDA PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
PRALL PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
HORACE HARDING PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
DEAN PLAYGROUND,2,BROOKLYN,0,0,1,1,0,0,0
SEVEN GABLES PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND B,0,QUEENS,0,0,0,0,0,0,0
LITTLE FLOWER PLAYGROUND,1,MANHATTAN,0,0,1,0,0,0,0
DONGAN PLAYGROUND,0,STATEN ISLAND,0,0,0,0,0,0,0
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,0,BROOKLYN,0,0,0,0,0,0,0
SAMUEL H. YOUNG PARK,0,BRONX,0,0,0,0,0,0,0
EAST RIVER PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
SPACE TIME PLAYGROUND,2,BRONX,0,1,1,0,0,0,0
BOWNE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
RUDD PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
WILLOW LAKE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
MURPHY'S BROTHER'S PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
COONEY GRAUER FIELD,0,BRONX,0,0,0,0,0,0,0
WAGNER PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
EMERALD PLAYGROUND,1,QUEENS,0,0,1,0,0,0,0
PELHAM BAY LITTLE LEAGUE,0,BRONX,0,0,0,0,0,0,0
CHARLIE'S PLACE,1,BROOKLYN,0,0,0,0,0,1,0
GREENE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
TANAHEY PLAYGROUND,1,MANHATTAN,0,0,0,0,0,1,0
ALBERT J. PARHAM PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
PARKSIDE PLAYGROUND BROOKLYN,0,BROOKLYN,0,0,0,0,0,0,0
PLAYGROUND NINETY,2,QUEENS,0,0,2,0,0,0,0
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,0,STATEN ISLAND,0,0,0,0,0,0,0
NEPTUNE PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
HECKSCHER PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
ANNUNCIATION PARK,2,MANHATTAN,0,0,0,2,0,0,0
QUEENSBORO OVAL,0,MANHATTAN,0,0,0,0,0,0,0
GRASSMERE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
GONZALO PLASENCIA PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
RIENZI PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
PATRICK O'ROURKE PARK,0,BROOKLYN,0,0,0,0,0,0,0
ROEBLING PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
FRESH MEADOWS PARK,0,QUEENS,0,0,0,0,0,0,0
HOWARD BENNETT PLAYGROUND,2,MANHATTAN,0,0,1,0,0,1,0
STANLEY ISAACS PLAYGROUND,0,MANHATTAN,0,0,0,0,0,0,0
CHAPPETTO SQUARE,0,QUEENS,0,0,0,0,0,0,0
BRIGHTON PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
NELSON PLAYGROUND,0,BRONX,0,0,0,0,0,0,0
SHEEPSHEAD BAY PIERS,0,BROOKLYN,0,0,0,0,0,0,0
ELEANOR ROOSEVELT PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BAYVIEW PLAYGROUND,0,BROOKLYN,0,0,0,0,0,0,0
BAYSIDE PLAYGROUND,0,QUEENS,0,0,0,0,0,0,0
